"iyear","imonth","iday","country","country_txt","region","region_txt","provstate","crit1","crit2","crit3","multiple","success","suicide","attacktype1","attacktype1_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","gname","motive","individual","nperps","claimed","weaptype1","weaptype1_txt","nkill","nwound","INT_LOG","INT_IDEO"
1975,9,19,217,"United States",1,"North America","Ohio",1,1,1,0,1,0,1,"Assassination",14,"Private Citizens & Property",68,"Named Civilian","White supremacists/nationalists","To protest and prevent the desegregation of the Dayton school system",1,1,0,5,"Firearms",1,0,-9,-9
1976,4,3,217,"United States",1,"North America","Florida",1,1,1,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",49,"School/University/Educational Building","Cuban extremists",,1,2,,6,"Explosives",,,1,1
1976,9,6,217,"United States",1,"North America","Maryland",1,1,1,0,1,0,8,"Unarmed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,2,"Chemical",0,,-9,-9
1977,3,7,217,"United States",1,"North America","Ohio",1,1,1,0,1,0,6,"Hostage Taking (Kidnapping)",3,"Police",25,"Police Security Forces/Officers","African-American extremists","Moore disliked white people and wanted them to evacuate the earth; additionally, he demanded that President Carter apologize to black Americans for the injustices against blacks since 1619.",1,1,1,5,"Firearms",0,0,0,0
1977,7,29,217,"United States",1,"North America","Tennessee",1,1,1,0,1,0,3,"Bombing/Explosion",15,"Religious Figures/Institutions",86,"Place of Worship","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,6,"Explosives",0,0,-9,-9
1977,10,8,217,"United States",1,"North America","Missouri",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",69,"Religion Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",1,2,-9,-9
1978,2,18,53,"Cyprus",8,"Western Europe","Nicosia",1,1,1,0,1,0,1,"Assassination",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility","Anti-Israeli extremists","In protest of pro-Israel articles in the Egyptian newspaper edited by Mr. Sebai.",1,2,1,5,"Firearms",16,,-9,-9
1978,3,6,217,"United States",1,"North America","Georgia",1,1,1,0,0,0,1,"Assassination",14,"Private Citizens & Property",68,"Named Civilian","White supremacists/nationalists","To protest the presence of interracial sex in Larry Flynt's Hustler Magazine.",1,1,0,5,"Firearms",0,2,-9,-9
1978,5,26,217,"United States",1,"North America","Illinois",1,1,1,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",48,"Teacher/Professor/Instructor","Anti-Technology extremists",,1,1,,6,"Explosives",0,1,-9,-9
1978,7,29,217,"United States",1,"North America","Tennessee",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",1,1,-9,-9
1979,5,9,217,"United States",1,"North America","Illinois",1,1,1,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",49,"School/University/Educational Building","Anti-Technology extremists",,1,1,,6,"Explosives",0,1,-9,-9
1979,5,17,217,"United States",1,"North America","Hawaii",1,1,1,0,1,0,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Hawaiian extremists","The specific motive is unknown; however, this was one in a series of many attacks against US military servicemen in Hawaii by a band of non-whites whose motto was Save Hawaii for the Hawaiians. Over the course of five months, four servicemen had been killed and at least 46 injured in what was believed to be a battle against military presence by this group of men who were seemingly attempting to prove their local machismo.",1,3,0,5,"Firearms",1,1,0,0
1979,7,12,217,"United States",1,"North America","Georgia",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",1,0,-9,-9
1979,8,18,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",1,0,-9,-9
1979,10,21,217,"United States",1,"North America","Oklahoma",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",2,0,-9,-9
1979,11,15,217,"United States",1,"North America","Illinois",1,1,1,0,1,0,3,"Bombing/Explosion",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Anti-Technology extremists",,1,,,6,"Explosives",0,0,-9,-9
1980,1,12,217,"United States",1,"North America","Indiana",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",1,0,-9,-9
1980,1,14,217,"United States",1,"North America","Indiana",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",1,0,-9,-9
1980,5,0,217,"United States",1,"North America","Wisconsin",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",1,0,-9,-9
1980,5,29,217,"United States",1,"North America","Indiana",1,1,1,0,0,0,1,"Assassination",12,"NGO",61,"Domestic NGO","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",0,1,-9,-9
1980,6,8,217,"United States",1,"North America","Ohio",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",2,0,-9,-9
1980,6,10,217,"United States",1,"North America","Illinois",1,1,1,0,0,0,3,"Bombing/Explosion",6,"Airports & Aircraft",43,"Airline Officer/Personnel","Anti-Technology extremists",,1,1,,6,"Explosives",0,1,-9,-9
1980,6,15,217,"United States",1,"North America","Pennsylvania",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",2,0,-9,-9
1980,8,20,217,"United States",1,"North America","Utah",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",1,1,0,5,"Firearms",2,1,-9,-9
1980,10,14,217,"United States",1,"North America","Colorado",1,1,1,0,1,0,1,"Assassination",14,"Private Citizens & Property",84,"Political Party Member/Rally","Gaddafi loyalists","To silence dissidents of the Muammar Qaddafi regime",1,1,0,5,"Firearms",1,0,1,0
1981,10,8,217,"United States",1,"North America","Utah",1,1,1,0,0,0,3,"Bombing/Explosion",8,"Educational Institution",49,"School/University/Educational Building","Anti-Technology extremists",,1,1,,6,"Explosives",0,0,-9,-9
1982,3,29,69,"France",8,"Western Europe","Limousin",1,1,1,0,1,0,3,"Bombing/Explosion",19,"Transportation",100,"Train/Train Tracks/Trolley","Marxists",,1,,,6,"Explosives",5,28,-9,-9
1982,4,22,69,"France",8,"Western Europe","Ile-de-France",1,1,1,0,1,0,3,"Bombing/Explosion",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility","Marxists",,1,,,6,"Explosives",1,60,-9,-9
1982,5,5,217,"United States",1,"North America","Tennessee",1,1,1,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",48,"Teacher/Professor/Instructor","Anti-Technology extremists",,1,1,,6,"Explosives",1,1,-9,-9
1982,7,2,217,"United States",1,"North America","California",1,1,1,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",48,"Teacher/Professor/Instructor","Anti-Technology extremists",,1,,,6,"Explosives",0,1,-9,-9
1982,12,8,217,"United States",1,"North America","District of Columbia",1,1,1,0,1,0,5,"Hostage Taking (Barricade Incident)",14,"Private Citizens & Property",80,"Memorial/Cemetery/Monument","Anti-Nuclear extremists",,1,1,,6,"Explosives",1,0,-9,-9
1983,2,15,217,"United States",1,"North America","Texas",1,1,1,0,1,0,4,"Hijacking",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Iranian extremists","To protest United States policy towards Iran.",1,1,,5,"Firearms",0,0,1,1
1983,12,31,69,"France",8,"Western Europe","Provence-Alpes-Cote d'Azur",1,1,1,0,1,0,3,"Bombing/Explosion",19,"Transportation",100,"Train/Train Tracks/Trolley","Marxists",,1,,,6,"Explosives",2,34,-9,-9
1983,12,31,69,"France",8,"Western Europe","Rhone-Alpes",1,1,1,0,1,0,3,"Bombing/Explosion",19,"Transportation",100,"Train/Train Tracks/Trolley","Marxists",,1,,,6,"Explosives",3,13,-9,-9
1985,4,10,59,"Ecuador",3,"South America","Guayas",1,1,1,0,1,0,6,"Hostage Taking (Kidnapping)",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Unknown",,1,6,,13,"Unknown",1,0,-9,-9
1985,4,11,59,"Ecuador",3,"South America","Guayas",1,1,1,0,1,0,1,"Assassination",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Unknown",,1,1,,13,"Unknown",1,0,-9,-9
1985,5,7,59,"Ecuador",3,"South America","Guayas",1,1,1,0,1,0,1,"Assassination",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Unknown",,1,1,,5,"Firearms",1,0,-9,-9
1985,5,15,217,"United States",1,"North America","California",1,1,1,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",49,"School/University/Educational Building","Anti-Technology extremists",,1,1,,6,"Explosives",0,1,-9,-9
1985,6,13,217,"United States",1,"North America","Washington",1,1,1,0,1,0,3,"Bombing/Explosion",1,"Business",4,"Multinational Corporation","Anti-Technology extremists",,1,1,,6,"Explosives",0,0,-9,-9
1985,6,22,217,"United States",1,"North America","Texas",1,1,1,0,1,0,3,"Bombing/Explosion",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Muslim extremists","Though there is conflicting information, the motive seems to be that the perpetrators were angry and retaliating for the holding of American hostages in Beirut during the Shiite Moslem hijacking of TWA Flight 847.",1,3,0,6,"Explosives",0,0,-9,-9
1985,11,15,217,"United States",1,"North America","Michigan",1,1,1,0,1,0,3,"Bombing/Explosion",8,"Educational Institution",49,"School/University/Educational Building","Anti-Technology extremists",,1,1,,6,"Explosives",0,2,-9,-9
1985,12,11,217,"United States",1,"North America","California",1,1,1,0,1,0,3,"Bombing/Explosion",1,"Business",7,"Retail/Grocery/Bakery","Anti-Technology extremists","Kaczynski was responsible for a 17-year bombing campaign of universities, airlines and computer-related targets, as he was against modern technology and large-scale organizations because he believed they diminished human freedom.",1,1,0,6,"Explosives",1,0,-9,-9
1987,2,20,217,"United States",1,"North America","Utah",1,1,1,0,1,0,3,"Bombing/Explosion",1,"Business",7,"Retail/Grocery/Bakery","Anti-Technology extremists",,1,1,,6,"Explosives",0,1,-9,-9
1988,11,11,217,"United States",1,"North America","Connecticut",1,1,1,0,0,0,3,"Bombing/Explosion",1,"Business",6,"Medical/Pharmaceutical","Animal Rights extremists","To protest the testing of surgical stapling products on live dogs and frighten the company chairman into halting this practice.",1,1,0,6,"Explosives",0,0,-9,-9
1989,10,21,78,"Greece",8,"Western Europe","North Aegean",1,1,1,0,0,0,3,"Bombing/Explosion",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Unknown",,1,1,,6,"Explosives",1,0,-9,-9
1989,12,6,38,"Canada",1,"North America","Quebec",1,1,1,0,1,1,2,"Armed Assault",8,"Educational Institution",49,"School/University/Educational Building","Anti-feminist extremists","Lepine stated during the attack that the women he killed were feminists, and that he hated feminists. The suicide note left at the scene reflected both personal and ideological misogyny.",1,1,1,5,"Firearms",15,14,-9,-9
1990,11,5,217,"United States",1,"North America","New York",1,1,1,0,1,0,1,"Assassination",17,"Terrorists/Non-State Militia",93,"Terrorist","Muslim extremists",,1,1,,5,"Firearms",1,0,-9,-9
1991,1,19,160,"Philippines",5,"Southeast Asia","Metropolitan Manila",1,1,1,0,1,0,3,"Bombing/Explosion",7,"Government (Diplomatic)",,,"Iraqi extremists",,1,2,0,6,"Explosives",1,0,1,1
1991,8,6,69,"France",8,"Western Europe","Ile-de-France",1,1,1,0,1,0,2,"Armed Assault",2,"Government (General)",18,"Government Personnel (excluding police, military)","Iranian extremists","Unknown",1,3,0,9,"Melee",2,0,1,0
1992,8,29,217,"United States",1,"North America","Puerto Rico",1,1,1,0,0,0,1,"Assassination",2,"Government (General)",18,"Government Personnel (excluding police, military)","Unknown",,1,1,,9,"Melee",0,0,-9,-9
1994,3,1,217,"United States",1,"North America","New York",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",69,"Religion Identified","Anti-Semitic extremists",,1,1,1,5,"Firearms",1,3,-9,-9
1994,3,11,205,"Thailand",5,"Southeast Asia","Bangkok",1,1,1,0,0,0,3,"Bombing/Explosion",7,"Government (Diplomatic)",46,"Embassy/Consulate","Jihadi-inspired extremists",,1,4,,6,"Explosives",1,0,-9,-9
1994,5,29,217,"United States",1,"North America","California",1,1,1,0,0,0,1,"Assassination",15,"Religious Figures/Institutions",85,"Religious Figure","Unknown",,1,1,,5,"Firearms",0,3,-9,-9
1994,7,29,217,"United States",1,"North America","Florida",1,1,1,0,1,0,1,"Assassination",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,,,5,"Firearms",2,1,-9,-9
1994,9,12,217,"United States",1,"North America","District of Columbia",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",2,"Government (General)",17,"Head of State","Unknown",,1,1,,13,"Unknown",1,0,-9,-9
1994,10,29,217,"United States",1,"North America","District of Columbia",1,1,1,0,0,0,1,"Assassination",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Unknown",,1,1,,5,"Firearms",0,0,-9,-9
1994,12,1,160,"Philippines",5,"Southeast Asia","Metropolitian Manila",1,1,1,0,1,0,3,"Bombing/Explosion",1,"Business",11,"Entertainment/Cultural/Stadium/Casino","Jihadi-inspired extremists",,1,,,6,"Explosives",0,3,-9,-9
1994,12,11,160,"Philippines",5,"Southeast Asia","Unknown",1,1,1,0,1,0,3,"Bombing/Explosion",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Jihadi-inspired extremists",,1,,,6,"Explosives",1,6,-9,-9
1994,12,10,217,"United States",1,"North America","New Jersey",1,1,1,0,1,0,3,"Bombing/Explosion",1,"Business",,,"Anti-Technology extremists",,1,1,,6,"Explosives",1,0,-9,-9
1994,12,14,217,"United States",1,"North America","New York",1,1,1,0,1,0,5,"Hostage Taking (Barricade Incident)",8,"Educational Institution",49,"School/University/Educational Building","Unknown",,1,1,,5,"Firearms",0,1,-9,-9
1995,1,0,217,"United States",1,"North America","New Mexico",1,1,1,1,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,1,,8,"Incendiary",0,0,-9,-9
1995,1,0,217,"United States",1,"North America","New Mexico",1,1,1,1,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,1,,8,"Incendiary",0,0,-9,-9
1995,1,0,217,"United States",1,"North America","New Mexico",1,1,1,1,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,1,,8,"Incendiary",0,0,-9,-9
1995,1,2,217,"United States",1,"North America","New Mexico",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,1,,8,"Incendiary",0,0,-9,-9
1995,1,2,217,"United States",1,"North America","New Mexico",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,1,,8,"Incendiary",0,0,-9,-9
1995,2,24,217,"United States",1,"North America","New Mexico",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,1,,8,"Incendiary",0,0,-9,-9
1995,3,11,217,"United States",1,"North America","Massachusetts",1,1,1,0,1,0,8,"Unarmed Assault",5,"Abortion Related",41,"Personnel","Anti-Abortion extremists",,1,1,,9,"Melee",0,1,-9,-9
1995,3,18,217,"United States",1,"North America","Colorado",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,1,,9,"Melee",0,0,-9,-9
1995,4,19,217,"United States",1,"North America","Oklahoma",1,1,1,0,1,0,3,"Bombing/Explosion",2,"Government (General)",21,"Government Building/Facility/Office","Anti-Government extremists",,1,1,,6,"Explosives",168,650,-9,-9
1995,4,19,101,"Japan",4,"East Asia","Kanagawa",1,1,1,0,1,0,8,"Unarmed Assault",19,"Transportation",100,"Train/Train Tracks/Trolley","Unknown",,1,1,,2,"Chemical",0,671,-9,-9
1995,4,24,217,"United States",1,"North America","California",1,1,1,0,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",82,"Labor Union Related","Anti-Technology extremists",,1,,,6,"Explosives",1,0,-9,-9
1995,7,28,75,"Germany",8,"Western Europe","North Rhine-Westphalia",1,1,1,0,1,0,4,"Hijacking",18,"Tourists",96,"Tour Bus/Van","Israeli extremists",,1,1,,13,"Unknown",3,3,1,1
1995,9,18,217,"United States",1,"North America","Wyoming",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",1,"Business",6,"Medical/Pharmaceutical","Anti-Abortion extremists",,1,1,1,8,"Incendiary",0,0,-9,-9
1995,10,3,30,"Brazil",3,"South America","Federal District",1,1,1,0,1,0,3,"Bombing/Explosion",2,"Government (General)",21,"Government Building/Facility/Office","Unknown",,1,1,,6,"Explosives",0,2,-9,-9
1995,10,30,217,"United States",1,"North America","Illinois",1,1,1,0,1,0,3,"Bombing/Explosion",2,"Government (General)",14,"Judge/Attorney/Court","Unknown",,1,,,6,"Explosives",0,0,-9,-9
1995,12,3,83,"Guatemala",2,"Central America & Caribbean","Huehuetenango",1,1,1,0,0,0,6,"Hostage Taking (Kidnapping)",7,"Government (Diplomatic)",47,"International Organization (peacekeeper, aid agency, compound)","Unknown",,1,3,,13,"Unknown",0,1,-9,-9
1995,12,7,217,"United States",1,"North America","North Carolina",1,1,1,0,1,0,1,"Assassination",20,"Unknown",,,"Unknown",,1,,,5,"Firearms",0,0,-9,-9
1995,12,15,30,"Brazil",3,"South America","Sao Paulo",1,1,1,0,1,0,2,"Armed Assault",7,"Government (Diplomatic)",46,"Embassy/Consulate","Unknown",,1,1,,5,"Firearms",0,0,-9,-9
1996,1,6,201,"Taiwan",4,"East Asia","Taipei",1,1,1,0,1,0,4,"Hijacking",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Unknown",,1,1,,7,"Fake Weapons",0,0,-9,-9
1996,1,21,101,"Japan",4,"East Asia","Tokyo",1,1,1,0,1,0,3,"Bombing/Explosion",2,"Government (General)",21,"Government Building/Facility/Office","Unknown",,1,1,,6,"Explosives",0,0,-9,-9
1996,2,4,83,"Guatemala",2,"Central America & Caribbean","Sacatepequez",1,1,1,0,0,0,1,"Assassination",2,"Government (General)",17,"Head of State","Unknown",,1,1,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1,0,-9,-9
1996,7,12,101,"Japan",4,"East Asia","Tokyo",1,1,1,0,1,0,8,"Unarmed Assault",7,"Government (Diplomatic)",46,"Embassy/Consulate","Unknown",,1,1,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0,0,-9,-9
1996,8,16,217,"United States",1,"North America","Utah",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",1,"Business",2,"Restaurant/Bar/Café","Animal Rights extremists","Allegedly, in protest of animal cruelty and the slaughter of cattle, chickens and fish.",1,4,0,8,"Incendiary",0,0,-9,-9
1996,9,10,217,"United States",1,"North America","Arizona",1,1,1,0,1,0,8,"Unarmed Assault",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,1,,9,"Melee",0,0,-9,-9
1996,11,23,65,"Ethiopia",11,"Sub-Saharan Africa","Addis Ababa",1,1,1,0,1,0,5,"Hostage Taking (Barricade Incident)",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Unknown","Unknown",1,3,0,13,"Unknown",123,,-9,-9
1996,12,18,217,"United States",1,"North America","Louisiana",1,1,1,0,1,0,1,"Assassination",5,"Abortion Related",41,"Personnel","Anti-Abortion extremists",,1,1,,9,"Melee",0,1,-9,-9
1997,1,1,217,"United States",1,"North America","Oklahoma",1,1,1,1,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,,,8,"Incendiary",0,0,-9,-9
1997,1,1,217,"United States",1,"North America","Oklahoma",1,1,1,1,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,,,8,"Incendiary",0,0,-9,-9
1997,1,1,217,"United States",1,"North America","Oklahoma",1,1,1,1,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,,,8,"Incendiary",0,0,-9,-9
1997,2,2,87,"Haiti",2,"Central America & Caribbean","Sud",1,1,1,0,1,0,1,"Assassination",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Unknown",,1,1,,5,"Firearms",3,2,-9,-9
1997,2,18,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists","An unaffiliated individidual, identified as James Anthony Mitchell, claimed responsibiliy for the incident and stated that he targeted the clinic because 'lives are being lost much as they were in Nazi death camps.'",1,1,1,8,"Incendiary",0,0,-9,-9
1997,3,8,217,"United States",1,"North America","California",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists",,1,,,8,"Incendiary",0,0,-9,-9
